Estado,Casos,Muertos
Aguascalientes,253,7
Baja California,1582,236
Baja California Sur,330,18
Campeche,109,20
Coahuila de Zaragoza,440,42
Ciudad de Mexico,6013,369
Chiapas,216,9
Chihuahua,452,88
Colima,29,3
Durango,73,7
Mexico,3615,273
Guanajuato,290,27
Guerrero,317,52
Hidalgo,306,32
Jalisco,387,32
Michoacan de Ocampo,366,44
Morelos,417,47
Nayarit,106,12
Nuevo Leon,406,18
Oaxaca,163,22
Puebla,755,95
Queretaro,151,13
Quintana Roo,889,118
San Luis Potosi,131,9
Sinaloa,1076,163
Sonora,249,24
Tabasco,1077,138
Tamaulipas,362,21
Tlaxcala,229,22
Veracruz de Ignacio de la Llave,672,60
Yucatan,533,30
Zacatecas,94,10
